"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",2,"Total renewable water resources",4188,2014,65.33,"K","",""
"Albania",3,"Total renewable water resources",4188,2014,30.2,"I","",""
"Algeria",4,"Total renewable water resources",4188,2014,11.67,"I","",""
"Andorra",6,"Total renewable water resources",4188,2014,0.3156,"E","",""
"Angola",7,"Total renewable water resources",4188,2014,148.4,"I","",""
"Antigua and Barbuda",8,"Total renewable water resources",4188,2014,0.052,"","",""
"Argentina",9,"Total renewable water resources",4188,2014,876.2,"","",""
"Armenia",1,"Total renewable water resources",4188,2014,7.769,"I","",""
"Australia",10,"Total renewable water resources",4188,2014,492.0,"","[1]",""
"Austria",11,"Total renewable water resources",4188,2014,77.7,"I","",""
"Azerbaijan",52,"Total renewable water resources",4188,2014,34.68,"I","",""
"Bahamas",12,"Total renewable water resources",4188,2014,0.7,"I","",""
"Bahrain",13,"Total renewable water resources",4188,2014,0.116,"","",""
"Bangladesh",16,"Total renewable water resources",4188,2014,1227.0,"I","",""
"Barbados",14,"Total renewable water resources",4188,2014,0.08,"","",""
"Belarus",57,"Total renewable water resources",4188,2014,57.9,"I","",""
"Belgium",255,"Total renewable water resources",4188,2014,18.3,"I","",""
"Belize",23,"Total renewable water resources",4188,2014,21.73,"","",""
"Benin",53,"Total renewable water resources",4188,2014,26.39,"I","",""
"Bhutan",18,"Total renewable water resources",4188,2014,78.0,"I","",""
"Bolivia (Plurinational State of)",19,"Total renewable water resources",4188,2014,574.0,"","",""
"Bosnia and Herzegovina",80,"Total renewable water resources",4188,2014,37.5,"K","",""
"Botswana",20,"Total renewable water resources",4188,2014,12.24,"I","",""
"Brazil",21,"Total renewable water resources",4188,2014,8647.0,"","",""
"Brunei Darussalam",26,"Total renewable water resources",4188,2014,8.5,"","",""
"Bulgaria",27,"Total renewable water resources",4188,2014,21.3,"I","",""
"Burkina Faso",233,"Total renewable water resources",4188,2014,13.5,"I","",""
"Burundi",29,"Total renewable water resources",4188,2014,12.54,"I","",""
"Cabo Verde",35,"Total renewable water resources",4188,2014,0.3,"","",""
"Cambodia",115,"Total renewable water resources",4188,2014,476.1,"I","",""
"Cameroon",32,"Total renewable water resources",4188,2014,283.1,"I","",""
"Canada",33,"Total renewable water resources",4188,2014,2902.0,"I","",""
"Central African Republic",37,"Total renewable water resources",4188,2014,141.0,"I","",""
"Chad",39,"Total renewable water resources",4188,2014,45.7,"I","",""
"Chile",40,"Total renewable water resources",4188,2014,923.1,"","",""
"China",351,"Total renewable water resources",4188,2014,2840.0,"I","[2]",""
"Colombia",44,"Total renewable water resources",4188,2014,2360.0,"","",""
"Comoros",45,"Total renewable water resources",4188,2014,1.2,"","[3]",""
"Congo",46,"Total renewable water resources",4188,2014,832.0,"I","",""
"Costa Rica",48,"Total renewable water resources",4188,2014,113.0,"","",""
"Côte d'Ivoire",107,"Total renewable water resources",4188,2014,84.14,"I","",""
"Croatia",98,"Total renewable water resources",4188,2014,105.5,"I","",""
"Cuba",49,"Total renewable water resources",4188,2014,38.12,"I","",""
"Cyprus",50,"Total renewable water resources",4188,2014,0.78,"I","",""
"Czechia",167,"Total renewable water resources",4188,2014,13.15,"I","",""
"Democratic People's Republic of Korea",116,"Total renewable water resources",4188,2014,77.15,"I","",""
"Democratic Republic of the Congo",250,"Total renewable water resources",4188,2014,1283.0,"I","",""
"Denmark",54,"Total renewable water resources",4188,2014,6.0,"I","",""
"Djibouti",72,"Total renewable water resources",4188,2014,0.3,"I","",""
"Dominica",55,"Total renewable water resources",4188,2014,0.2,"I","",""
"Dominican Republic",56,"Total renewable water resources",4188,2014,23.5,"I","",""
"Ecuador",58,"Total renewable water resources",4188,2014,442.4,"","",""
"Egypt",59,"Total renewable water resources",4188,2014,58.3,"","",""
"El Salvador",60,"Total renewable water resources",4188,2014,26.27,"","",""
"Equatorial Guinea",61,"Total renewable water resources",4188,2014,26.0,"I","",""
"Eritrea",178,"Total renewable water resources",4188,2014,7.315,"I","",""
"Estonia",63,"Total renewable water resources",4188,2014,12.81,"I","",""
"Eswatini",209,"Total renewable water resources",4188,2014,4.51,"I","",""
"Ethiopia",238,"Total renewable water resources",4188,2014,122.0,"I","",""
"Fiji",66,"Total renewable water resources",4188,2014,28.55,"K","",""
"Finland",67,"Total renewable water resources",4188,2014,110.0,"I","",""
"France",68,"Total renewable water resources",4188,2014,211.0,"I","",""
"Gabon",74,"Total renewable water resources",4188,2014,166.0,"I","",""
"Gambia",75,"Total renewable water resources",4188,2014,8.0,"I","",""
"Georgia",73,"Total renewable water resources",4188,2014,63.33,"I","",""
"Germany",79,"Total renewable water resources",4188,2014,154.0,"I","",""
"Ghana",81,"Total renewable water resources",4188,2014,56.2,"I","",""
"Greece",84,"Total renewable water resources",4188,2014,68.4,"I","",""
"Grenada",86,"Total renewable water resources",4188,2014,0.2,"I","",""
"Guatemala",89,"Total renewable water resources",4188,2014,127.9,"","",""
"Guinea",90,"Total renewable water resources",4188,2014,226.0,"I","",""
"Guinea-Bissau",175,"Total renewable water resources",4188,2014,31.4,"I","",""
"Guyana",91,"Total renewable water resources",4188,2014,271.0,"","",""
"Haiti",93,"Total renewable water resources",4188,2014,14.03,"","",""
"Honduras",95,"Total renewable water resources",4188,2014,92.16,"","",""
"Hungary",97,"Total renewable water resources",4188,2014,104.0,"I","",""
"Iceland",99,"Total renewable water resources",4188,2014,170.0,"","",""
"India",100,"Total renewable water resources",4188,2014,1911.0,"I","",""
"Indonesia",101,"Total renewable water resources",4188,2014,2019.0,"","",""
"Iran (Islamic Republic of)",102,"Total renewable water resources",4188,2014,137.0,"I","",""
"Iraq",103,"Total renewable water resources",4188,2014,89.86,"I","",""
"Ireland",104,"Total renewable water resources",4188,2014,52.0,"","",""
"Israel",105,"Total renewable water resources",4188,2014,1.78,"I","",""
"Italy",106,"Total renewable water resources",4188,2014,191.3,"","",""
"Jamaica",109,"Total renewable water resources",4188,2014,10.82,"I","",""
"Japan",110,"Total renewable water resources",4188,2014,430.0,"","",""
"Jordan",112,"Total renewable water resources",4188,2014,0.937,"I","",""
"Kazakhstan",108,"Total renewable water resources",4188,2014,108.4,"K","",""
"Kenya",114,"Total renewable water resources",4188,2014,30.7,"I","",""
"Kuwait",118,"Total renewable water resources",4188,2014,0.02,"","",""
"Kyrgyzstan",113,"Total renewable water resources",4188,2014,23.62,"I","",""
"Lao People's Democratic Republic",120,"Total renewable water resources",4188,2014,333.5,"I","",""
"Latvia",119,"Total renewable water resources",4188,2014,34.94,"I","",""
"Lebanon",121,"Total renewable water resources",4188,2014,4.503,"","",""
"Lesotho",122,"Total renewable water resources",4188,2014,3.022,"I","",""
"Liberia",123,"Total renewable water resources",4188,2014,232.0,"I","",""
